,0,1,2,3
0,Andaman and Nicobar,207,152,0
1,Andhra Pradesh,53724,24228,696
2,Arunachal Pradesh,790,285,3
3,Assam,25382,17095,58
4,Bihar,27646,17433,217
5,Chandigarh,737,518,12
6,Chhattisgarh,5561,3944,25
7,Dadra and Nagar Haveli and Daman,684,448,2
8,Daman and Diu,0,0,0
9,Delhi,123747,104918,3663
10,Goa,3853,2361,23
11,Gujarat,49353,35678,2162
12,Haryana,26858,20226,355
13,Himachal Pradesh,1631,1067,11
14,Jammu and Kashmir,14650,8274,254
15,Jharkhand,5756,2810,53
16,Karnataka,67420,23795,1403
17,Kerala,13274,5616,43
18,Ladakh,1195,1007,2
19,Lakshadweep,0,0,0
20,Maharashtra,318695,175029,12030
21,Manipur,1925,1307,0
22,Meghalaya,466,66,4
23,Mizoram,297,168,0
24,Madhya Pradesh,23310,15684,738
25,Nagaland,1021,484,0
26,Odisha,18110,12910,97
27,Puducherry,2092,1265,29
28,Punjab,10510,7118,262
29,Rajasthan,30390,22195,568
30,Sikkim,305,92,0
31,Tamil Nadu,175678,121776,2551
32,Telengana,46274,34323,422
33,Tripura,3079,1845,7
34,Uttar Pradesh,51160,30831,1192
35,Uttarakhand,4642,3212,55
36,West Bengal,44769,26418,1147
